UserID,YOB,Age,Gender,Income,HouseholdStatus,EducationLevel,Party,Happy,votes,Q122771,Q120472,Q120194,Q119650,Q118232,Q117186,Q117193,Q116881,Q116197,Q115777,Q115899,Q114386,Q113583,Q113584,Q111580,Q110740,Q108950,Q108855,Q108342,Q106997,Q102089,Q108856,Q101162,Q101163,Q99982,Q98059,Q122769,Q118233,Q118237,Q122770,Q124742,Q116797,Q122120,Q116953,Q116601,Q116441,Q116448,Q121699,Q115602,Q121700,Q115610,Q115611,Q120978,Q115390,Q114961,Q114748,Q115195,Q114517,Q121011,Q113992,Q114152,Q120379,Q120650,Q113181,Q112478,Q112512,Q112270,Q111848,Q124122,Q111220,Q123464,Q109367,Q120012,Q109244,Q120014,Q108617,Q119851,Q108754,Q119334,Q108343,Q107869,Q107491,Q106993,Q123621,Q106272,Q106388,Q106389,Q106042,Q105840,Q105655,Q104996,Q103293,Q102906,Q102674,Q102687,Q102289,Q118892,Q118117,Q101596,Q100689,Q100680,Q100562,Q100010,Q99716,Q99581,Q99480,Q98869,Q98578,Q98078,Q98197,Q96024
1,1938,76,Male,"over $150,000",Married (w/kids),Bachelor's Degree,Independent,1,86,Public,Science,Try first,Giving,Idealist,Cool headed,Odd hours,Happy,P.M.,Start,Circumstances,TMI,Talk,Technology,Demanding,PC,Cautious,Yes!,In-person,Yay people!,Own,Space,Optimist,Mom,Nope,Only-child,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Yes
2,1985,29,Female,"$25,001 - $50,000",Single (no kids),Master's Degree,Democrat,1,66,Public,Science,Study first,Giving,Idealist,Cool headed,Odd hours,Happy,A.M.,End,Me,TMI,Tunes,People,Supportive,Mac,Cautious,Yes!,In-person,Yay people!,Rent,Space,Optimist,Mom,Check!,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes
5,1963,51,Male,"over $150,000",Married (w/kids),Master's Degree,Republican,0,101,Private,Science,Try first,Giving,Pragmatist,Cool headed,Standard hours,Right,A.M.,Start,Me,TMI,Talk,People,Supportive,PC,Risk-friendly,Yes!,In-person,Yay people!,Own,Space,Optimist,Mom,Check!,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes
6,1997,17,Male,"$75,000 - $100,000",Single (no kids),High School Diploma,Republican,1,98,Private,Science,Study first,Receiving,Pragmatist,Cool headed,Odd hours,Right,A.M.,Start,Circumstances,Mysterious,Tunes,Technology,Supportive,PC,Cautious,Umm...,In-person,Grrr people,Own,Space,Pessimist,Mom,Nope,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No
7,1996,18,Male,"$50,000 - $74,999",Single (no kids),Current K-12,Independent,1,98,Public,Science,Study first,Giving,Pragmatist,Cool headed,Standard hours,Happy,A.M.,Start,Circumstances,Mysterious,Tunes,People,Supportive,Mac,Cautious,Yes!,In-person,Yay people!,Own,Space,Optimist,Dad,Nope,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes
8,1991,23,Female,"under $25,000",Single (no kids),Current Undergraduate,Independent,1,83,Public,Art,Try first,Giving,Idealist,Hot headed,Standard hours,Happy,P.M.,Start,Me,TMI,Tunes,People,Supportive,PC,Cautious,Yes!,In-person,Grrr people,Rent,Socialize,Optimist,Mom,Check!,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No
9,1995,19,Male,"$75,000 - $100,000",Single (no kids),Current K-12,Republican,1,68,Private,Science,Try first,Giving,Idealist,Cool headed,Standard hours,Happy,P.M.,Start,Me,TMI,Tunes,Technology,Supportive,PC,Cautious,Yes!,In-person,Yay people!,Own,Space,Optimist,Mom,Nope,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes
11,1983,31,Male,"$100,001 - $150,000",Married (w/kids),Bachelor's Degree,Independent,1,101,Public,Science,Try first,Giving,Idealist,Cool headed,Standard hours,Happy,A.M.,Start,Circumstances,TMI,Talk,People,Supportive,Mac,Risk-friendly,Umm...,Online,Grrr people,Own,Socialize,Optimist,Mom,Check!,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes
12,1984,30,Female,"$50,000 - $74,999",Married (w/kids),High School Diploma,Republican,0,101,Public,Art,Try first,Giving,Idealist,Hot headed,Standard hours,Happy,P.M.,End,Me,TMI,Tunes,People,Demanding,PC,Cautious,Yes!,Online,Yay people!,Own,Socialize,Optimist,Mom,Nope,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes
13,1997,17,Female,"over $150,000",Single (no kids),Current K-12,Democrat,0,44,Public,Science,Try first,Receiving,Pragmatist,Cool headed,Standard hours,Happy,P.M.,End,Me,Mysterious,Tunes,People,Supportive,PC,Cautious,Umm...,In-person,Grrr people,Own,Space,Pessimist,Mom,Nope,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes
